"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol"
-1.24949466925363,6.48945104045363,-9.17308216278364,1.59450521244165e-06,1.1785180174833e-05,4.806991616489,"SPNCRNA.1039"
-1.2414202560594,9.2630242176265,-19.2789464508513,6.67363233022612e-10,2.95329349702158e-08,13.1225558336261,"SPNCRNA.1083"
-1.23663881046209,6.93636082023383,-12.8413260301717,5.10937731251709e-08,7.97427816274989e-07,8.49631799015243,"SPAC6B12.03c"
-1.23655746145124,9.17987933858581,-19.7645715039079,5.0965476749663e-10,2.39161485525935e-08,13.4079788683906,"SPNCRNA.270"
-1.23525003071119,10.6510709345512,-13.9269616080204,2.17454887626415e-08,4.17704553374697e-07,9.41092329667872,"SPCC417.16"
-1.23385132170545,11.7210862372722,-22.2224640840455,1.42467954539459e-10,8.7380345450868e-09,14.7524275613384,"SPAC11G7.03"
-1.23065921030859,12.6138461972624,-15.5556073653939,6.71453980829879e-09,1.73464483733235e-07,10.6668235023321,"SPCC1020.10"
-1.22830788933928,16.0990638823362,-16.8895432138452,2.78172587512878e-09,9.08870435462636e-08,11.606293371859,"SPCC1281.06c"
-1.22672264890213,1.89979061532303,-2.74238451409397,0.0189671698779533,0.0322358900793995,-5.05178600713657,"SPNCRNA.208"
-1.21704203117572,12.8465390089378,-14.3075153204064,1.63471994542926e-08,3.32266333094225e-07,9.71615637451123,"SPCC1235.02"
